,id,name,lat,lng,checkinsCount,tipCount,usersCount
10194,4d9c351ab2bd370434bb104b,London SAM,51.538915007468624,-0.07769467012138988,2,0,2
10196,4d17c3d1816af04df47e51c2,Kingsland Fire Station,51.53928006829146,-0.07841932438440712,14,1,8
10197,4ff2efcee4b0964c5ee2a2f0,Hackney Pirates,51.539067,-0.077171,1,0,1
10198,4dd25b39ae60fb3f53be2972,IG Music,51.538902,-0.078081,40,0,2
10199,4de77f80fa7639614267e43a,Openbyhand Design Ltd,51.539628,-0.077465,315,3,3
10200,4be6d40a2468c92888b50143,Evans Cycles,51.53895258600891,-0.08282816191733822,10,1,7
10201,51dc58e5498e2e7ec3a7c83f,The Rose Lipman Building,51.53908182233983,-0.08146694720835584,21,0,20
10202,5255bd3d11d2c7029b9447ff,Srana's Kingdom,51.53953,-0.086566,56,0,7
10203,50b7ce06e4b060c792fa9c4c,Sweet Thursday,51.541220689687556,-0.08517680749978404,257,10,130
10205,52d8f7d6498e9b8ab9f5dab2,Mary Joanna,51.53761592186942,-0.0850347560699814,11,0,6
10206,510c3d19e4b0607ce1eda6f8,MG Fit In Fitness Personal Training,51.53833966456009,-0.08541041250072264,64,0,6
10207,50e0e17ce4b0fe643c86a971,HeHo,51.539138,-0.083224,6,0,1
